PredicateSignature,count,mean_q_error,median_q_error,p95_q_error,max_q_error
t.kind_id:<|ci.person_id:<|mk.keyword_id:=,1,5.205128205128205,5.205128205128205,5.205128205128205,5.205128205128205
t.kind_id:<|mc.company_id:=|ci.person_id:<,1,5.1634869386557085,5.1634869386557085,5.1634869386557085,5.1634869386557085
mi.info_type_id:<|mk.keyword_id:=,3,5.100699526713078,5.48962148962149,7.049602588120428,7.222933821286977
t.kind_id:=|t.production_year:<|mc.company_id:=|mc.company_type_id:<,1,5.05183585313175,5.05183585313175,5.05183585313175,5.05183585313175
mc.company_id:=|mc.company_type_id:<,23,5.042277218382048,3.28,9.625257731958762,32.0
t.kind_id:=|ci.person_id:=|ci.role_id:>,1,5.0,5.0,5.0,5.0
t.kind_id:=|t.production_year:<|mi_idx.info_type_id:>|mk.keyword_id:=,1,5.0,5.0,5.0,5.0
t.kind_id:<|t.production_year:<|mc.company_id:=|mc.company_type_id:<,2,4.96901177503486,4.96901177503486,7.217316402416981,7.467128027681661
t.kind_id:=|t.production_year:=|mk.keyword_id:=,4,4.958333333333333,2.666666666666667,11.549999999999997,13.0
t.kind_id:=|mc.company_id:=|mi.info_type_id:<,1,4.928571428571429,4.928571428571429,4.928571428571429,4.928571428571429
t.kind_id:=|t.production_year:=|mi.info_type_id:>,9,4.928441350319523,1.5665546290909875,18.57318634423897,25.75
t.production_year:<|ci.person_id:=,2,4.829710144927536,4.829710144927536,6.632971014492753,6.833333333333333
t.kind_id:=|t.production_year:>|mc.company_id:=|mc.company_type_id:=,1,4.826086956521739,4.826086956521739,4.826086956521739,4.826086956521739
ci.person_id:=|mi.info_type_id:<,5,4.79452653341161,3.142857142857143,11.71389236545682,13.764705882352942
mc.company_id:=|mc.company_type_id:=|mi_idx.info_type_id:=,1,4.75,4.75,4.75,4.75
t.kind_id:>|mk.keyword_id:=,6,4.651195642659057,2.5971544715447155,11.806776556776557,14.17094017094017
t.production_year:<|mk.keyword_id:=,12,4.529849699998546,2.5379002499702414,13.435606060606055,17.227272727272727
t.kind_id:<|t.production_year:=|mc.company_id:=,3,4.485562865497076,4.0,6.803125,7.114583333333333
t.kind_id:=|t.production_year:<|mk.keyword_id:=,6,4.392002189225205,3.2348300970873787,10.625,12.333333333333334
t.kind_id:>|t.production_year:>|mc.company_type_id:>|ci.person_id:=|ci.role_id:=,1,4.355555555555555,4.355555555555555,4.355555555555555,4.355555555555555
t.production_year:<|mi.info_type_id:<|mi_idx.info_type_id:>,1,4.352059925093633,4.352059925093633,4.352059925093633,4.352059925093633
mi.info_type_id:=|mk.keyword_id:=,2,4.33674428170468,4.33674428170468,5.520389674807239,5.651905829596412
t.production_year:<|mc.company_id:>|mc.company_type_id:>|mk.keyword_id:=,1,4.333333333333333,4.333333333333333,4.333333333333333,4.333333333333333
t.kind_id:>|t.production_year:=|mk.keyword_id:=,3,4.32051282051282,5.211538461538462,5.921153846153846,6.0
t.production_year:<|mi.info_type_id:>|mk.keyword_id:=,4,4.313527745144009,2.401916033855752,10.038836937234354,11.331138287864535
t.kind_id:<|t.production_year:<|mk.keyword_id:=,4,4.277134691514232,3.222571269820917,8.299999999999999,9.0
t.kind_id:<|t.production_year:<|ci.person_id:=|ci.role_id:=,1,4.23249299719888,4.23249299719888,4.23249299719888,4.23249299719888
t.kind_id:>|ci.person_id:>|ci.role_id:=|mk.keyword_id:=,1,4.188690476190477,4.188690476190477,4.188690476190477,4.188690476190477
t.kind_id:<|t.production_year:>|mc.company_id:=|mc.company_type_id:=,2,4.1683827806864455,4.1683827806864455,5.129927283304247,5.236765561372891
t.kind_id:>|t.production_year:>|mc.company_id:>|mc.company_type_id:=,2,4.126486648714316,4.126486648714316,5.413455116484335,5.556451612903226
mc.company_id:<|mc.company_type_id:<|mk.keyword_id:=,2,4.078369208940604,4.078369208940604,4.750353509736527,4.825018432047186
t.kind_id:=|t.production_year:=|ci.person_id:<|ci.role_id:>|mi.info_type_id:=,1,4.045454545454546,4.045454545454546,4.045454545454546,4.045454545454546
t.kind_id:<|t.production_year:=|mk.keyword_id:=,5,4.014452181223054,4.827586206896552,6.443026004728132,6.581560283687943
t.kind_id:>|ci.person_id:=|ci.role_id:>,1,4.0,4.0,4.0,4.0
