trial_id,selected_candidate,mean_q_error,median_q_error,p90_q_error,p95_q_error,max_q_error,public_rows,main_eta,main_max_depth,main_min_child_weight,main_subsample,main_colsample_bytree,main_lambda,main_alpha,main_num_boost_round,low_eta,low_max_depth,low_min_child_weight,low_subsample,low_colsample_bytree,low_lambda,low_alpha,low_num_boost_round,residual_eta,residual_max_depth,residual_min_child_weight,residual_subsample,residual_colsample_bytree,residual_lambda,residual_alpha,residual_num_boost_round,blend_low_expert_weight_percent,main_tuned_best_iteration,selected_main_config,selected_blend_low_expert_weight,selected_blend_other_weight
105,residual,2.6427340802373966,1.1404777559552133,3.250806451612906,6.359041034974877,1106.148,5000,0.035,6,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,50,3199.0,main_tuned,,
106,residual,2.6427340802373966,1.1404777559552133,3.250806451612906,6.359041034974877,1106.148,5000,0.035,6,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,60,3199.0,main_tuned,,
107,residual,2.6427340802373966,1.1404777559552133,3.250806451612906,6.359041034974877,1106.148,5000,0.035,6,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,70,3199.0,main_tuned,,
108,residual,2.6427340802373966,1.1404777559552133,3.250806451612906,6.359041034974877,1106.148,5000,0.035,6,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,80,3199.0,main_tuned,,
109,residual,2.6427340802373966,1.1404777559552133,3.250806451612906,6.359041034974877,1106.148,5000,0.035,6,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,90,3199.0,main_tuned,,
110,residual,2.6427340802373966,1.1404777559552133,3.250806451612906,6.359041034974877,1106.148,5000,0.035,6,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,100,3199.0,main_tuned,,
122,residual,2.6427340802373966,1.1404777559552133,3.250806451612906,6.359041034974877,1106.148,5000,0.035,6,1.5,0.92,0.92,1.2,0.02,3200,0.04,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,0,3199.0,main_tuned,,
126,residual,2.6427340802373966,1.1404777559552133,3.250806451612906,6.359041034974877,1106.148,5000,0.035,6,1.5,0.92,0.92,1.2,0.02,3200,0.04,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,40,3199.0,main_tuned,,
127,residual,2.6427340802373966,1.1404777559552133,3.250806451612906,6.359041034974877,1106.148,5000,0.035,6,1.5,0.92,0.92,1.2,0.02,3200,0.04,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,50,3199.0,main_tuned,,
128,residual,2.6427340802373966,1.1404777559552133,3.250806451612906,6.359041034974877,1106.148,5000,0.035,6,1.5,0.92,0.92,1.2,0.02,3200,0.04,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,60,3199.0,main_tuned,,
